Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Mean reward: -26.6 Num episodes: 3
Logging to ./gol_results/PPO_5
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 281         |
|    ep_rew_mean          | -18         |
| time/                   |             |
|    fps                  | 782         |
|    iterations           | 4           |
|    time_elapsed         | 10          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.011412595 |
|    clip_fraction        | 0.0857      |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.22       |
|    explained_variance   | 0.556       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.272       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0345     |
|    value_loss           | 1.63        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 274         |
|    ep_rew_mean          | -17.3       |
| time/                   |             |
|    fps                  | 756         |
|    iterations           | 8           |
|    time_elapsed         | 21          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.010445285 |
|    clip_fraction        | 0.0927      |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.16       |
|    explained_variance   | 0.62        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.26        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0392     |
|    value_loss           | 3.78        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 266         |
|    ep_rew_mean          | -16.5       |
| time/                   |             |
|    fps                  | 755         |
|    iterations           | 12          |
|    time_elapsed         | 32          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.012030745 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.11       |
|    explained_variance   | 0.75        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.952       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0438     |
|    value_loss           | 2.7         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 297         |
|    ep_rew_mean          | -19.6       |
| time/                   |             |
|    fps                  | 754         |
|    iterations           | 16          |
|    time_elapsed         | 43          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.015916001 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.01       |
|    explained_variance   | 0.678       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.84        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.055      |
|    value_loss           | 2.96        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 299         |
|    ep_rew_mean          | -19.8       |
| time/                   |             |
|    fps                  | 754         |
|    iterations           | 20          |
|    time_elapsed         | 54          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.017993176 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.97       |
|    explained_variance   | 0.759       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.335       |
|    n_updates            | 190         |
